matricula,dia,fim_de_semana,montada
2702,1,False,1
2702,2,False,1
2702,3,True,1
2702,4,True,1
2702,5,False,1
2702,6,False,1
2702,7,False,1
2702,8,False,1
2702,9,False,1
2702,10,True,1
2702,11,True,1
2702,12,False,1
2702,13,False,1
2702,14,False,1
2702,15,False,1
2702,16,False,1
2702,17,True,1
2702,18,True,1
2702,19,False,1
2702,20,False,1
2702,21,False,1
2702,22,False,1
2702,23,False,1
2702,24,True,1
2702,25,True,1
2702,26,False,1
2702,27,False,1
2702,28,False,1
2702,29,False,1
2702,30,False,1
2702,31,True,1
2703,1,False,1
2703,2,False,1
2703,3,True,1
2703,4,True,1
2703,5,False,1
2703,6,False,1
2703,7,False,1
2703,8,False,1
2703,9,False,1
2703,10,True,1
2703,11,True,1
2703,12,False,1
2703,13,False,1
2703,14,False,1
2703,15,False,1
2703,16,False,1
2703,17,True,1
2703,18,True,1
2703,19,False,1
2703,20,False,1
2703,21,False,1
2703,22,False,1
2703,23,False,1
2703,24,True,1
2703,25,True,1
2703,26,False,1
2703,27,False,1
2703,28,False,1
2703,29,False,1
2703,30,False,1
2703,31,True,1
2704,1,False,1
2704,2,False,1
2704,3,True,1
2704,4,True,1
2704,5,False,1
2704,6,False,1
2704,7,False,1
2704,8,False,1
2704,9,False,1
2704,10,True,1
2704,11,True,1
2704,12,False,1
2704,13,False,1
2704,14,False,1
2704,15,False,1
2704,16,False,1
2704,17,True,1
2704,18,True,1
2704,19,False,1
2704,20,False,1
2704,21,False,1
2704,22,False,1
2704,23,False,1
2704,24,True,1
2704,25,True,1
2704,26,False,1
2704,27,False,1
2704,28,False,1
2704,29,False,1
2704,30,False,1
2704,31,True,1
2708,1,False,1
2708,2,False,1
2708,3,True,1
2708,4,True,1
2708,5,False,1
2708,6,False,1
2708,7,False,1
2708,8,False,1
2708,9,False,1
2708,10,True,1
2708,11,True,1
2708,12,False,1
2708,13,False,1
2708,14,False,1
2708,15,False,1
2708,16,False,1
2708,17,True,1
2708,18,True,1
2708,19,False,1
2708,20,False,1
2708,21,False,1
2708,22,False,1
2708,23,False,1
2708,24,True,1
2708,25,True,1
2708,26,False,1
2708,27,False,1
2708,28,False,1
2708,29,False,1
2708,30,False,1
2708,31,True,1
2709,1,False,1
2709,2,False,1
2709,3,True,1
2709,4,True,1
2709,5,False,1
2709,6,False,1
2709,7,False,1
2709,8,False,1
2709,9,False,1
2709,10,True,1
2709,11,True,1
2709,12,False,1
2709,13,False,1
2709,14,False,1
2709,15,False,1
2709,16,False,1
2709,17,True,1
2709,18,True,1
2709,19,False,1
2709,20,False,1
2709,21,False,1
2709,22,False,1
2709,23,False,1
2709,24,True,1
2709,25,True,1
2709,26,False,1
2709,27,False,1
2709,28,False,1
2709,29,False,1
2709,30,False,0
2709,31,True,0
2719,1,False,1
2719,2,False,1
2719,3,True,1
2719,4,True,1
2719,5,False,1
2719,6,False,1
2719,7,False,1
2719,8,False,1
2719,9,False,1
2719,10,True,1
2719,11,True,1
2719,12,False,1
2719,13,False,1
2719,14,False,1
2719,15,False,1
2719,16,False,1
2719,17,True,1
2719,18,True,1
2719,19,False,0
2719,20,False,0
2719,21,False,0
2719,22,False,0
2719,23,False,0
2719,24,True,0
2719,25,True,0
2719,26,False,0
2719,27,False,0
2719,28,False,0
2719,29,False,0
2719,30,False,0
2719,31,True,0
2720,1,False,1
2720,2,False,1
2720,3,True,1
2720,4,True,1
2720,5,False,1
2720,6,False,1
2720,7,False,1
2720,8,False,1
2720,9,False,1
2720,10,True,1
2720,11,True,1
2720,12,False,1
2720,13,False,1
2720,14,False,1
2720,15,False,1
2720,16,False,1
2720,17,True,1
2720,18,True,1
2720,19,False,1
2720,20,False,1
2720,21,False,1
2720,22,False,1
2720,23,False,1
2720,24,True,1
2720,25,True,1
2720,26,False,1
2720,27,False,1
2720,28,False,1
2720,29,False,1
2720,30,False,1
2720,31,True,1
2721,1,False,1
2721,2,False,1
2721,3,True,1
2721,4,True,1
2721,5,False,1
2721,6,False,1
2721,7,False,1
2721,8,False,1
2721,9,False,1
2721,10,True,1
2721,11,True,1
2721,12,False,1
2721,13,False,1
2721,14,False,1
2721,15,False,1
2721,16,False,1
2721,17,True,1
2721,18,True,1
2721,19,False,1
2721,20,False,1
2721,21,False,1
2721,22,False,1
2721,23,False,1
2721,24,True,1
2721,25,True,1
2721,26,False,1
2721,27,False,1
2721,28,False,1
2721,29,False,1
2721,30,False,1
2721,31,True,1
2722,1,False,1
2722,2,False,1
2722,3,True,1
2722,4,True,1
2722,5,False,1
2722,6,False,1
2722,7,False,1
2722,8,False,1
2722,9,False,1
2722,10,True,1
2722,11,True,1
2722,12,False,1
2722,13,False,1
2722,14,False,1
2722,15,False,1
2722,16,False,1
2722,17,True,1
2722,18,True,1
2722,19,False,1
2722,20,False,1
2722,21,False,1
2722,22,False,1
2722,23,False,1
2722,24,True,1
2722,25,True,1
2722,26,False,1
2722,27,False,1
2722,28,False,1
2722,29,False,1
2722,30,False,1
2722,31,True,1
2723,1,False,1
2723,2,False,1
2723,3,True,1
2723,4,True,1
2723,5,False,1
2723,6,False,1
2723,7,False,1
2723,8,False,1
2723,9,False,1
2723,10,True,1
2723,11,True,1
2723,12,False,1
2723,13,False,1
2723,14,False,1
2723,15,False,1
2723,16,False,1
2723,17,True,1
2723,18,True,1
2723,19,False,1
2723,20,False,1
2723,21,False,1
2723,22,False,1
2723,23,False,1
2723,24,True,1
2723,25,True,1
2723,26,False,1
2723,27,False,1
2723,28,False,1
2723,29,False,1
2723,30,False,1
2723,31,True,1
2727,1,False,1
2727,2,False,1
2727,3,True,1
2727,4,True,1
2727,5,False,1
2727,6,False,1
2727,7,False,1
2727,8,False,1
2727,9,False,1
2727,10,True,1
2727,11,True,1
2727,12,False,1
2727,13,False,1
2727,14,False,1
2727,15,False,1
2727,16,False,1
2727,17,True,1
2727,18,True,1
2727,19,False,1
2727,20,False,1
2727,21,False,1
2727,22,False,1
2727,23,False,1
2727,24,True,1
2727,25,True,1
2727,26,False,1
2727,27,False,1
2727,28,False,1
2727,29,False,1
2727,30,False,1
2727,31,True,1
2728,1,False,1
2728,2,False,1
2728,3,True,1
2728,4,True,1
2728,5,False,1
2728,6,False,1
2728,7,False,1
2728,8,False,1
2728,9,False,1
2728,10,True,1
2728,11,True,1
2728,12,False,1
2728,13,False,1
2728,14,False,1
2728,15,False,1
2728,16,False,1
2728,17,True,1
2728,18,True,1
2728,19,False,1
2728,20,False,1
2728,21,False,1
2728,22,False,1
2728,23,False,1
2728,24,True,1
2728,25,True,1
2728,26,False,1
2728,27,False,1
2728,28,False,1
2728,29,False,1
2728,30,False,0
2728,31,True,0
2729,1,False,1
2729,2,False,1
2729,3,True,1
2729,4,True,1
2729,5,False,1
2729,6,False,1
2729,7,False,1
2729,8,False,1
2729,9,False,1
2729,10,True,1
2729,11,True,1
2729,12,False,1
2729,13,False,1
2729,14,False,1
2729,15,False,1
2729,16,False,1
2729,17,True,1
2729,18,True,1
2729,19,False,1
2729,20,False,1
2729,21,False,1
2729,22,False,1
2729,23,False,1
2729,24,True,1
2729,25,True,1
2729,26,False,1
2729,27,False,1
2729,28,False,1
2729,29,False,1
2729,30,False,1
2729,31,True,1
2731,1,False,1
2731,2,False,1
2731,3,True,1
2731,4,True,1
2731,5,False,1
2731,6,False,1
2731,7,False,1
2731,8,False,1
2731,9,False,1
2731,10,True,1
2731,11,True,1
2731,12,False,1
2731,13,False,1
2731,14,False,1
2731,15,False,1
2731,16,False,1
