dia,montada
1,95.65217391304348
2,95.65217391304348
3,95.65217391304348
4,95.65217391304348
5,95.65217391304348
6,95.65217391304348
7,91.30434782608695
8,86.95652173913044
9,86.95652173913044
10,82.6086956521739
11,82.6086956521739
12,82.6086956521739
13,82.6086956521739
14,78.26086956521739
15,82.6086956521739
16,78.26086956521739
17,78.26086956521739
18,82.6086956521739
19,82.6086956521739
20,86.95652173913044
21,82.6086956521739
22,78.26086956521739
23,86.95652173913044
24,91.30434782608695
25,91.30434782608695
26,91.30434782608695
27,95.65217391304348
28,91.30434782608695
29,91.30434782608695
30,100.0
31,100.0
