dia,montada
1,91.30434782608695
2,91.30434782608695
3,91.30434782608695
4,91.30434782608695
5,91.30434782608695
6,91.30434782608695
7,91.30434782608695
8,91.30434782608695
9,91.30434782608695
10,91.30434782608695
11,91.30434782608695
12,91.30434782608695
13,91.30434782608695
14,91.30434782608695
15,91.30434782608695
16,91.30434782608695
17,86.95652173913044
18,86.95652173913044
19,82.6086956521739
20,82.6086956521739
21,82.6086956521739
22,78.26086956521739
23,78.26086956521739
24,78.26086956521739
25,78.26086956521739
26,82.6086956521739
27,82.6086956521739
28,82.6086956521739
29,82.6086956521739
30,82.6086956521739
31,82.6086956521739
